# phi     nH       nHhigh      nHlow   
0.054   3E+024     4E+024     2.00E+24
0.056   3E+024     4E+024     2.00E+24
0.058   2.5E+024   3.5E+024   1.50E+24
0.059   2.5E+024   3.5E+024   1.50E+24
0.061   2.5E+024   3E+024     1.50E+24
0.078   2E+024     2.5E+024   1.50E+24
0.116   5E+023     6E+023     3.00E+23
0.134   4E+023     5E+023     3.00E+23
0.145   2E+023     2.5E+023   1.50E+23
0.065   1.5E+024   2E+024     1.00E+24
0.085   1E+024     1.5E+024   7.00E+23
0.097   7E+023	   9E+023	  5.00E+23
0.188   2.5E+023   3E+023     2.00E+23
