 # nH = n1*b^{-1} + nK*b^{-K}
 #    n1          nK       K    CHIred      ermax         xi
  3.8426E+23  6.8160E+24   3  2.5171E-01  4.7417E-01  3.5476E+01
  3.8379E+23  6.8171E+24   3  2.5171E-01  4.7376E-01  3.5526E+01
  3.8428E+23  6.8146E+24   3  2.5171E-01  4.7398E-01  3.5467E+01
  3.8399E+23  6.8154E+24   3  2.5171E-01  4.7376E-01  3.5498E+01
  3.8373E+23  6.8167E+24   3  2.5171E-01  4.7364E-01  3.5528E+01
  3.8414E+23  6.8166E+24   3  2.5171E-01  4.7411E-01  3.5491E+01
  3.8422E+23  6.8159E+24   3  2.5171E-01  4.7409E-01  3.5479E+01
  3.8397E+23  6.8156E+24   3  2.5171E-01  4.7375E-01  3.5501E+01
  3.8427E+23  6.8151E+24   3  2.5171E-01  4.7405E-01  3.5470E+01
  3.8403E+23  6.8166E+24   3  2.5171E-01  4.7398E-01  3.5501E+01
  3.8382E+23  6.8164E+24   3  2.5171E-01  4.7370E-01  3.5519E+01
  3.8413E+23  6.8157E+24   3  2.5171E-01  4.7397E-01  3.5486E+01
  3.8413E+23  6.8158E+24   3  2.5171E-01  4.7397E-01  3.5487E+01
  3.8380E+23  6.8176E+24   3  2.5171E-01  4.7384E-01  3.5527E+01
  3.8375E+23  6.8176E+24   3  2.5171E-01  4.7378E-01  3.5531E+01
  3.8428E+23  6.8159E+24   3  2.5171E-01  4.7417E-01  3.5473E+01
  3.8386E+23  6.8171E+24   3  2.5171E-01  4.7385E-01  3.5519E+01
  3.8397E+23  6.8157E+24   3  2.5171E-01  4.7377E-01  3.5502E+01
  3.8400E+23  6.8156E+24   3  2.5171E-01  4.7379E-01  3.5498E+01
  3.8374E+23  6.8171E+24   3  2.5171E-01  4.7370E-01  3.5530E+01
  3.8385E+23  6.8170E+24   3  2.5171E-01  4.7383E-01  3.5519E+01
  3.8377E+23  6.8174E+24   3  2.5171E-01  4.7378E-01  3.5529E+01
  3.8394E+23  6.8171E+24   3  2.5171E-01  4.7394E-01  3.5511E+01
  3.8406E+23  6.8163E+24   3  2.5171E-01  4.7397E-01  3.5496E+01
  3.8399E+23  6.8158E+24   3  2.5171E-01  4.7381E-01  3.5500E+01
  3.8400E+23  6.8158E+24   3  2.5171E-01  4.7383E-01  3.5499E+01
  3.8389E+23  6.8169E+24   3  2.5171E-01  4.7386E-01  3.5515E+01
  3.8399E+23  6.8159E+24   3  2.5171E-01  4.7383E-01  3.5500E+01
  3.8400E+23  6.8163E+24   3  2.5171E-01  4.7390E-01  3.5502E+01
  3.8412E+23  6.8165E+24   3  2.5171E-01  4.7406E-01  3.5492E+01
  3.8399E+23  6.8162E+24   3  2.5171E-01  4.7388E-01  3.5502E+01
  3.8419E+23  6.8155E+24   3  2.5171E-01  4.7401E-01  3.5480E+01
  3.8400E+23  6.8162E+24   3  2.5171E-01  4.7387E-01  3.5501E+01
  3.8391E+23  6.8170E+24   3  2.5171E-01  4.7390E-01  3.5513E+01
  3.8403E+23  6.8151E+24   3  2.5171E-01  4.7377E-01  3.5493E+01
  3.8410E+23  6.8164E+24   3  2.5171E-01  4.7404E-01  3.5493E+01
  3.8392E+23  6.8169E+24   3  2.5171E-01  4.7389E-01  3.5512E+01
  3.8394E+23  6.8165E+24   3  2.5171E-01  4.7387E-01  3.5508E+01
  3.8403E+23  6.8153E+24   3  2.5171E-01  4.7378E-01  3.5493E+01
  3.8394E+23  6.8164E+24   3  2.5171E-01  4.7385E-01  3.5507E+01
  3.8426E+23  6.8155E+24   3  2.5171E-01  4.7411E-01  3.5473E+01
  3.8419E+23  6.8149E+24   3  2.5171E-01  4.7391E-01  3.5477E+01
  3.8405E+23  6.8154E+24   3  2.5171E-01  4.7383E-01  3.5492E+01
  3.8411E+23  6.8161E+24   3  2.5171E-01  4.7400E-01  3.5491E+01
  3.8425E+23  6.8154E+24   3  2.5171E-01  4.7407E-01  3.5473E+01
  3.8426E+23  6.8151E+24   3  2.5171E-01  4.7405E-01  3.5471E+01
  3.8424E+23  6.8152E+24   3  2.5171E-01  4.7402E-01  3.5474E+01
  3.8394E+23  6.8169E+24   3  2.5171E-01  4.7392E-01  3.5510E+01
  3.8395E+23  6.8168E+24   3  2.5171E-01  4.7391E-01  3.5509E+01
  3.8390E+23  6.8162E+24   3  2.5171E-01  4.7377E-01  3.5510E+01
