# i=90.0   n1e=3.84E+23   xiE=3.56E+01    Ke=3.  n1in=1.79E+23  xiIN=1.86E+02   Kin=4.  nHwd=1.50E+22   psiE=1.10   psiIN=0.80
# Chi^2_red =   0.428          DoF =   34
#   phi           nH          nH_error     transition
  0.00000     2.072E+24       2.070E+17       v_1
  0.00278     2.002E+24       2.001E+17       v_1
  0.00556     1.943E+24       1.941E+17       v_1
  0.00833     1.895E+24       1.892E+17       v_1
  0.01111     1.857E+24       1.855E+17       v_1
  0.01389     1.831E+24       1.830E+17       v_1
  0.01667     1.815E+24       1.815E+17       v_1
  0.01944     1.813E+24       1.811E+17       v_1
  0.02222     1.824E+24       1.822E+17       v_1
  0.02500     1.852E+24       1.851E+17       v_1
  0.02778     1.902E+24       1.901E+17       v_1
  0.03056     1.981E+24       1.979E+17       v_1
  0.03333     2.106E+24       2.104E+17       v_1
  0.03611     2.310E+24       2.310E+17       v_1
  0.03889     2.725E+24       2.721E+17       v_1
  0.04167     6.533E+24       6.524E+17       v_1
  0.04444     5.430E+24       5.423E+17       v_1
  0.04722     4.569E+24       4.564E+17       v_1
  0.05000     3.886E+24       3.882E+17       v_1
  0.05278     3.338E+24       3.333E+17       v_1
  0.05556     2.892E+24       2.890E+17       v_1
  0.05833     2.526E+24       2.523E+17       v_1
  0.06111     2.222E+24       2.220E+17       v_1
  0.06389     1.967E+24       1.967E+17       v_1
  0.06667     1.753E+24       1.751E+17       v_1
  0.06944     1.570E+24       1.568E+17       v_1
  0.07222     1.413E+24       1.413E+17       v_1
  0.07500     1.278E+24       1.277E+17       v_1
  0.07778     1.161E+24       1.161E+17       v_1
  0.08056     1.059E+24       1.059E+17       v_1
  0.08333     9.700E+23       9.694E+16       v_1
  0.08611     8.913E+23       8.907E+16       v_1
  0.08889     8.217E+23       8.212E+16       v_1
  0.09167     7.599E+23       7.596E+16       v_1
  0.09444     7.047E+23       7.047E+16       v_1
  0.09722     6.554E+23       6.552E+16       v_1
  0.10000     6.111E+23       6.110E+16       v_1
  0.10278     5.712E+23       5.708E+16       v_1
  0.10556     5.351E+23       5.350E+16       v_1
  0.10833     5.023E+23       5.022E+16       v_1
  0.11111     4.726E+23       4.725E+16       v_1
  0.11389     4.454E+23       4.454E+16       v_1
  0.11667     4.206E+23       4.205E+16       v_1
  0.11944     3.979E+23       3.978E+16       v_1
  0.12222     3.770E+23       3.769E+16       v_1
  0.12500     3.578E+23       3.577E+16       v_1
  0.12778     3.401E+23       3.400E+16       v_1
  0.13056     3.237E+23       3.237E+16       v_1
  0.13333     3.085E+23       3.085E+16       v_1
  0.13611     2.944E+23       2.944E+16       v_1
  0.13889     2.814E+23       2.813E+16       v_1
  0.14167     2.692E+23       2.692E+16       v_1
  0.14444     2.578E+23       2.578E+16       v_1
  0.14722     2.472E+23       2.472E+16       v_1
  0.15000     2.373E+23       2.373E+16       v_1
  0.15278     2.280E+23       2.280E+16       v_1
  0.15556     2.193E+23       2.193E+16       v_1
  0.15833     2.111E+23       2.111E+16       v_1
  0.16111     2.034E+23       2.034E+16       v_1
  0.16389     1.962E+23       1.961E+16       v_1
  0.16667     1.894E+23       1.893E+16       v_1
  0.16944     1.829E+23       1.829E+16       v_1
  0.17222     1.768E+23       1.768E+16       v_1
  0.17500     1.711E+23       1.711E+16    egress
  0.17778     1.656E+23       1.656E+16    egress
  0.18056     1.604E+23       1.604E+16    egress
  0.18333     1.555E+23       1.555E+16    egress
  0.18611     1.509E+23       1.509E+16    egress
  0.18889     1.465E+23       1.464E+16    egress
  0.19167     1.423E+23       1.422E+16    egress
  0.19444     1.383E+23       1.382E+16    egress
  0.19722     1.344E+23       1.344E+16    egress
  0.20000     1.308E+23       1.308E+16    egress
  0.20278     1.273E+23       1.273E+16    egress
  0.20556     1.240E+23       1.240E+16    egress
  0.20833     1.208E+23       1.208E+16    egress
  0.21111     1.178E+23       1.178E+16    egress
  0.21389     1.149E+23       1.149E+16    egress
  0.21667     1.121E+23       1.121E+16    egress
  0.21944     1.095E+23       1.094E+16    egress
  0.22222     1.069E+23       1.069E+16    egress
  0.22500     1.044E+23       1.044E+16    egress
  0.22778     1.021E+23       1.021E+16    egress
  0.23056     9.982E+22       9.980E+15    egress
  0.23333     9.764E+22       9.762E+15    egress
  0.23611     9.554E+22       9.553E+15    egress
  0.23889     9.353E+22       9.351E+15    egress
  0.24167     9.158E+22       9.157E+15    egress
  0.24444     8.971E+22       8.969E+15    egress
  0.24722     8.790E+22       8.789E+15    egress
  0.25000     8.616E+22       8.616E+15    egress
  0.25278     8.448E+22       8.447E+15    egress
  0.25556     8.286E+22       8.286E+15    egress
  0.25833     8.129E+22       8.129E+15    egress
  0.26111     7.977E+22       7.976E+15    egress
  0.26389     7.831E+22       7.830E+15    egress
  0.26667     7.689E+22       7.687E+15    egress
  0.26944     7.552E+22       7.551E+15    egress
  0.27222     7.419E+22       7.419E+15    egress
  0.27500     7.290E+22       7.289E+15    egress
  0.27778     7.165E+22       7.165E+15    egress
  0.28056     7.044E+22       7.044E+15    egress
  0.28333     6.927E+22       6.925E+15    egress
  0.28611     6.813E+22       6.812E+15    egress
  0.28889     6.702E+22       6.701E+15    egress
  0.29167     6.595E+22       6.594E+15    egress
  0.29444     6.490E+22       6.490E+15    egress
  0.29722     6.389E+22       6.389E+15    egress
  0.30000     6.290E+22       6.290E+15    egress
  0.30278     6.194E+22       6.193E+15    egress
  0.30556     6.100E+22       6.099E+15    egress
  0.30833     6.010E+22       6.009E+15    egress
  0.31111     5.921E+22       5.921E+15    egress
  0.31389     5.835E+22       5.834E+15    egress
  0.31667     5.750E+22       5.750E+15    egress
  0.31944     5.668E+22       5.668E+15    egress
  0.32222     5.588E+22       5.588E+15    egress
  0.32500     5.510E+22       5.510E+15      v_23
  0.32778     5.434E+22       5.433E+15      v_23
  0.33056     5.359E+22       5.359E+15      v_23
  0.33333     5.286E+22       5.286E+15      v_23
  0.33611     5.215E+22       5.215E+15      v_23
  0.33889     5.146E+22       5.145E+15      v_23
  0.34167     5.078E+22       5.078E+15      v_23
  0.34444     5.011E+22       5.011E+15      v_23
  0.34722     4.947E+22       4.946E+15      v_23
  0.35000     4.883E+22       4.883E+15      v_23
  0.35278     4.821E+22       4.821E+15      v_23
  0.35556     4.761E+22       4.761E+15      v_23
  0.35833     4.702E+22       4.701E+15      v_23
  0.36111     4.644E+22       4.644E+15      v_23
  0.36389     4.588E+22       4.588E+15      v_23
  0.36667     4.533E+22       4.533E+15      v_23
  0.36944     4.479E+22       4.479E+15      v_23
  0.37222     4.427E+22       4.426E+15      v_23
  0.37500     4.376E+22       4.375E+15      v_23
  0.37778     4.326E+22       4.325E+15      v_23
  0.38056     4.277E+22       4.277E+15      v_23
  0.38333     4.229E+22       4.229E+15      v_23
  0.38611     4.183E+22       4.182E+15      v_23
  0.38889     4.138E+22       4.137E+15      v_23
  0.39167     4.093E+22       4.093E+15      v_23
  0.39444     4.050E+22       4.050E+15      v_23
  0.39722     4.008E+22       4.008E+15      v_23
  0.40000     3.967E+22       3.967E+15      v_23
  0.40278     3.928E+22       3.927E+15      v_23
  0.40556     3.889E+22       3.888E+15      v_23
  0.40833     3.851E+22       3.851E+15      v_23
  0.41111     3.814E+22       3.814E+15      v_23
  0.41389     3.778E+22       3.778E+15      v_23
  0.41667     3.743E+22       3.743E+15      v_23
  0.41944     3.709E+22       3.709E+15      v_23
  0.42222     3.676E+22       3.676E+15      v_23
  0.42500     3.644E+22       3.644E+15      v_23
  0.42778     3.613E+22       3.613E+15      v_23
  0.43056     3.583E+22       3.582E+15      v_23
  0.43333     3.553E+22       3.553E+15      v_23
  0.43611     3.525E+22       3.525E+15      v_23
  0.43889     3.497E+22       3.497E+15      v_23
  0.44167     3.470E+22       3.470E+15      v_23
  0.44444     3.444E+22       3.444E+15      v_23
  0.44722     3.419E+22       3.418E+15      v_23
  0.45000     3.394E+22       3.394E+15      v_23
  0.45278     3.371E+22       3.370E+15      v_23
  0.45556     3.348E+22       3.348E+15      v_23
  0.45833     3.325E+22       3.325E+15      v_23
  0.46111     3.304E+22       3.304E+15      v_23
  0.46389     3.283E+22       3.283E+15      v_23
  0.46667     3.263E+22       3.263E+15      v_23
  0.46944     3.244E+22       3.244E+15      v_23
  0.47222     3.226E+22       3.226E+15      v_23
  0.47500     3.208E+22       3.208E+15      v_23
  0.47778     3.191E+22       3.190E+15      v_23
  0.48056     3.174E+22       3.174E+15      v_23
  0.48333     3.159E+22       3.158E+15      v_23
  0.48611     3.143E+22       3.143E+15      v_23
  0.48889     3.129E+22       3.129E+15      v_23
  0.49167     3.115E+22       3.115E+15      v_23
  0.49444     3.102E+22       3.102E+15      v_23
  0.49722     3.090E+22       3.089E+15      v_23
  0.50000     3.078E+22       3.078E+15      v_23
  0.50278     3.067E+22       3.066E+15      v_23
  0.50556     3.056E+22       3.056E+15      v_23
  0.50833     3.046E+22       3.046E+15      v_23
  0.51111     3.037E+22       3.036E+15      v_23
  0.51389     3.028E+22       3.028E+15      v_23
  0.51667     3.020E+22       3.019E+15      v_23
  0.51944     3.012E+22       3.012E+15      v_23
  0.52222     3.005E+22       3.005E+15      v_23
  0.52500     2.999E+22       2.998E+15      v_23
  0.52778     2.993E+22       2.993E+15      v_23
  0.53056     2.988E+22       2.987E+15      v_23
  0.53333     2.983E+22       2.982E+15      v_23
  0.53611     2.979E+22       2.979E+15      v_23
  0.53889     2.975E+22       2.975E+15      v_23
  0.54167     2.973E+22       2.972E+15      v_23
  0.54444     2.970E+22       2.970E+15      v_23
  0.54722     2.969E+22       2.969E+15      v_23
  0.55000     2.967E+22       2.967E+15      v_23
  0.55278     2.967E+22       2.967E+15      v_23
  0.55556     2.967E+22       2.967E+15      v_23
  0.55833     2.968E+22       2.967E+15      v_23
  0.56111     2.969E+22       2.969E+15      v_23
  0.56389     2.971E+22       2.970E+15      v_23
  0.56667     2.973E+22       2.973E+15      v_23
  0.56944     2.976E+22       2.976E+15      v_23
  0.57222     2.980E+22       2.980E+15      v_23
  0.57500     2.984E+22       2.984E+15      v_23
  0.57778     2.989E+22       2.989E+15      v_23
  0.58056     2.995E+22       2.994E+15      v_23
  0.58333     3.001E+22       3.000E+15      v_23
  0.58611     3.007E+22       3.007E+15      v_23
  0.58889     3.015E+22       3.015E+15      v_23
  0.59167     3.023E+22       3.022E+15      v_23
  0.59444     3.032E+22       3.032E+15      v_23
  0.59722     3.041E+22       3.041E+15      v_23
  0.60000     3.051E+22       3.051E+15      v_23
  0.60278     3.062E+22       3.061E+15      v_23
  0.60556     3.073E+22       3.073E+15      v_23
  0.60833     3.086E+22       3.085E+15      v_23
  0.61111     3.098E+22       3.098E+15      v_23
  0.61389     3.112E+22       3.112E+15      v_23
  0.61667     3.127E+22       3.126E+15      v_23
  0.61944     3.142E+22       3.141E+15      v_23
  0.62222     3.158E+22       3.157E+15      v_23
  0.62500     3.175E+22       3.175E+15      v_23
  0.62778     3.192E+22       3.192E+15   ingress
  0.63056     3.211E+22       3.210E+15   ingress
  0.63333     3.230E+22       3.229E+15   ingress
  0.63611     3.250E+22       3.250E+15   ingress
  0.63889     3.271E+22       3.271E+15   ingress
  0.64167     3.293E+22       3.293E+15   ingress
  0.64444     3.316E+22       3.316E+15   ingress
  0.64722     3.340E+22       3.339E+15   ingress
  0.65000     3.365E+22       3.364E+15   ingress
  0.65278     3.390E+22       3.390E+15   ingress
  0.65556     3.417E+22       3.417E+15   ingress
  0.65833     3.445E+22       3.444E+15   ingress
  0.66111     3.474E+22       3.474E+15   ingress
  0.66389     3.504E+22       3.503E+15   ingress
  0.66667     3.535E+22       3.535E+15   ingress
  0.66944     3.567E+22       3.567E+15   ingress
  0.67222     3.601E+22       3.600E+15   ingress
  0.67500     3.635E+22       3.635E+15   ingress
  0.67778     3.671E+22       3.671E+15   ingress
  0.68056     3.709E+22       3.709E+15   ingress
  0.68333     3.747E+22       3.747E+15   ingress
  0.68611     3.788E+22       3.787E+15   ingress
  0.68889     3.829E+22       3.829E+15   ingress
  0.69167     3.872E+22       3.872E+15   ingress
  0.69444     3.917E+22       3.917E+15   ingress
  0.69722     3.963E+22       3.963E+15   ingress
  0.70000     4.012E+22       4.012E+15   ingress
  0.70278     4.061E+22       4.061E+15   ingress
  0.70556     4.113E+22       4.113E+15   ingress
  0.70833     4.167E+22       4.166E+15   ingress
  0.71111     4.222E+22       4.222E+15   ingress
  0.71389     4.280E+22       4.279E+15   ingress
  0.71667     4.340E+22       4.340E+15   ingress
  0.71944     4.402E+22       4.402E+15   ingress
  0.72222     4.467E+22       4.466E+15   ingress
  0.72500     4.534E+22       4.534E+15   ingress
  0.72778     4.604E+22       4.604E+15   ingress
  0.73056     4.677E+22       4.677E+15   ingress
  0.73333     4.752E+22       4.751E+15   ingress
  0.73611     4.831E+22       4.830E+15   ingress
  0.73889     4.912E+22       4.912E+15   ingress
  0.74167     4.997E+22       4.997E+15   ingress
  0.74444     5.086E+22       5.085E+15   ingress
  0.74722     5.178E+22       5.177E+15   ingress
  0.75000     5.274E+22       5.274E+15   ingress
  0.75278     5.374E+22       5.373E+15   ingress
  0.75556     5.479E+22       5.478E+15   ingress
  0.75833     5.588E+22       5.588E+15   ingress
  0.76111     5.702E+22       5.702E+15   ingress
  0.76389     5.822E+22       5.821E+15   ingress
  0.76667     5.947E+22       5.946E+15   ingress
  0.76944     6.077E+22       6.076E+15   ingress
  0.77222     6.214E+22       6.212E+15   ingress
  0.77500     6.357E+22       6.355E+15   ingress
  0.77778     6.507E+22       6.507E+15   ingress
  0.78056     6.665E+22       6.664E+15   ingress
  0.78333     6.830E+22       6.830E+15   ingress
  0.78611     7.004E+22       7.003E+15   ingress
  0.78889     7.187E+22       7.186E+15   ingress
  0.79167     7.379E+22       7.378E+15   ingress
  0.79444     7.582E+22       7.582E+15   ingress
  0.79722     7.796E+22       7.795E+15   ingress
  0.80000     8.022E+22       8.022E+15   ingress
  0.80278     8.260E+22       8.258E+15   ingress
  0.80556     8.512E+22       8.510E+15   ingress
  0.80833     8.779E+22       8.777E+15   ingress
  0.81111     9.062E+22       9.061E+15   ingress
  0.81389     9.362E+22       9.360E+15   ingress
  0.81667     9.680E+22       9.680E+15   ingress
  0.81944     1.002E+23       1.002E+16   ingress
  0.82222     1.038E+23       1.038E+16   ingress
  0.82500     1.076E+23       1.076E+16   ingress
  0.82778     1.117E+23       1.117E+16   ingress
  0.83056     1.161E+23       1.161E+16   ingress
  0.83333     1.208E+23       1.208E+16   ingress
  0.83611     1.258E+23       1.258E+16   ingress
  0.83889     1.312E+23       1.312E+16   ingress
  0.84167     1.370E+23       1.370E+16   ingress
  0.84444     1.433E+23       1.432E+16   ingress
  0.84722     1.500E+23       1.500E+16   ingress
  0.85000     1.573E+23       1.572E+16   ingress
  0.85278     1.652E+23       1.651E+16   ingress
  0.85556     1.737E+23       1.737E+16   ingress
  0.85833     1.830E+23       1.829E+16   ingress
  0.86111     1.931E+23       1.931E+16   ingress
  0.86389     2.042E+23       2.041E+16   ingress
  0.86667     2.162E+23       2.162E+16   ingress
  0.86944     2.295E+23       2.294E+16   ingress
  0.87222     2.440E+23       2.439E+16   ingress
  0.87500     2.600E+23       2.600E+16       v_4
  0.87778     2.777E+23       2.775E+16       v_4
  0.88056     2.973E+23       2.972E+16       v_4
  0.88333     3.190E+23       3.189E+16       v_4
  0.88611     3.432E+23       3.431E+16       v_4
  0.88889     3.703E+23       3.702E+16       v_4
  0.89167     4.006E+23       4.005E+16       v_4
  0.89444     4.347E+23       4.347E+16       v_4
  0.89722     4.733E+23       4.732E+16       v_4
  0.90000     5.169E+23       5.167E+16       v_4
  0.90278     5.666E+23       5.665E+16       v_4
  0.90556     6.234E+23       6.233E+16       v_4
  0.90833     6.886E+23       6.880E+16       v_4
  0.91111     7.638E+23       7.633E+16       v_4
  0.91389     8.509E+23       8.508E+16       v_4
  0.91667     9.524E+23       9.522E+16       v_4
  0.91944     1.071E+24       1.071E+17       v_4
  0.92222     1.212E+24       1.211E+17       v_4
  0.92500     1.378E+24       1.377E+17       v_4
  0.92778     1.577E+24       1.575E+17       v_4
  0.93056     1.816E+24       1.814E+17       v_4
  0.93333     2.107E+24       2.105E+17       v_4
  0.93611     2.462E+24       2.459E+17       v_4
  0.93889     2.902E+24       2.898E+17       v_4
  0.94167     3.450E+24       3.446E+17       v_4
  0.94444     4.142E+24       4.138E+17       v_4
  0.94722     5.026E+24       5.023E+17       v_4
  0.95000     6.171E+24       6.160E+17       v_4
  0.95278     7.676E+24       7.662E+17       v_4
  0.95556     9.688E+24       9.686E+17       v_4
  0.95833     1.243E+25       1.240E+18       v_4
  0.96111     5.156E+24       5.153E+17       v_4
  0.96389     4.247E+24       4.243E+17       v_4
  0.96667     3.803E+24       3.802E+17       v_4
  0.96944     3.518E+24       3.515E+17       v_4
  0.97222     3.312E+24       3.308E+17       v_4
  0.97500     3.149E+24       3.147E+17       v_4
  0.97778     3.001E+24       2.999E+17       v_4
  0.98056     2.858E+24       2.855E+17       v_4
  0.98333     2.719E+24       2.719E+17       v_4
  0.98611     2.586E+24       2.586E+17       v_4
  0.98889     2.463E+24       2.461E+17       v_4
  0.99167     2.349E+24       2.346E+17       v_4
  0.99444     2.246E+24       2.243E+17       v_4
  0.99722     2.153E+24       2.152E+17       v_4
  1.00000     2.072E+24       2.070E+17       v_4
