#   phi     nH      +nH      -nH     object
   0.054  3.0E+24  1.0E+24  1.0E+24   ARPav
   0.056  3.0E+24  1.0E+24  1.0E+24   ARPav
   0.058  2.5E+24  1.0E+24  1.0E+24   ARPav  
   0.059  2.5E+24  1.0E+24  1.0E+24   ARPav  
   0.061  2.5E+24  0.5E+24  1.0E+24   ARPav  
   0.078  2.0E+24  0.5E+24  0.5E+24   ARPav  
   0.116  5.0E+23  1.0E+23  2.0E+23   ARPav  
   0.134  4.0E+23  1.0E+23  1.0E+23   ARPav  
   0.273  7.5E+22  1.0E+22  2.5E+22   ARPav  
   0.371  5.0E+22  1.5E+22  1.5E+22   ARPav  
   0.568  5.0E+22  3.0E+22  2.0E+22   ARPav  
   0.707  3.0E+22  1.0E+22  1.0E+22   ARPav  
   0.864  2.0E+23  1.5E+23  0.5E+23   ARPav  
   0.901  1.9E+24  0.5E+24  0.6E+24   ARPav  
   0.920  1.0E+24  0.5E+24  0.3E+24   ARPav  
   0.598  5.0e+22  2.0e+22  1.0e+22   AXPer  
   0.606  4.0e+22  2.0e+22  1.0e+22   AXPer  
   0.145  2.0e+23  0.5e+23  0.5e+23   BFCyg  
   0.273  9.0e+22  1.5e+22  1.0e+22   BFCyg
   0.436  3.5e+22  0.7e+22  0.7e+22   BFCyg
   0.536  4.8e+22  1.0e+22  1.0e+22   BFCyg   
   0.545  6.0e+22  1.2e+22  1.2e+22   BFCyg
   0.706  4.0e+22  0.8e+22  1.1e+22   BFCyg
   0.392  7.0e+22  2.0e+22  2.0e+22   CICyg  
   0.576  3.0e+22  1.0e+22  1.0e+22   CICyg
   0.597  3.5e+22  1.0e+22  1.0e+22   CICyg
   0.850  1.6e+23  0.5e+23  0.5e+23   CICyg
   0.937  2.5e+24  0.6e+24  0.5e+24   CICyg
   0.065  1.5e+24  0.5e+24  0.5e+24   CICyg
   0.085  1.0e+24  0.5e+24  0.3e+24   CICyg
   0.097  7.0e+23  2.0e+23  2.0e+23   CICyg
   0.188  2.5e+23  0.5e+23  0.5e+23   CICyg
   0.253  1.0e+23  0.4e+23  0.2e+23   CICyg
   0.508  6.0e+22  2.0e+22  2.0e+22   CICyg
   0.648  3.0e+22  1.0e+22  1.0e+22   CICyg
   0.570  5.6e+22  1.2e+22  1.2e+22   PUVul  
   0.574  5.8e+22  1.3e+22  1.3e+22   PUVul
   0.590  3.9e+22  1.1e+22  1.1e+22   PUVul
   0.628  3.0e+22  0.6e+22  0.6e+22   PUVul
   0.636  2.9e+22  0.9e+22  0.9e+22   PUVul
   0.663  3.8e+22  1.0e+22  1.0e+22   PUVul
   0.265 1.38e+23  0.3e+23  0.5e+23   YYHer  
